PS C:\dev\mystimath\conjectura\magic-square-of-squares-3x3> python src/search_non_square_center_v2.py --max-root 10000
Profil B2-1
  cible      : racines extérieures <= 50,000
  objectif   : Dépasser proprement la borne 20 000.
  arrêt      : Stop si mur mémoire persistant après réécriture raisonnable.
Recherche B2 — centre non nécessairement carré
  max-root           : 10,000
  center-block-size  : 200,000
  moduli             : [8, 3, 5, 7, 11]
  primitive-only     : False
  distinct-roots     : False
  out                : (aucune sortie CSV)
  [ 8922.2s] centers=11,689,824  results=0  rate=1,310 centers/s
  [ 8948.0s] centers=11,709,770  results=0  rate=1,309 centers/s
  [ 8974.0s] centers=11,729,555  results=0  rate=1,307 centers/s
  [ 8999.9s] centers=11,749,237  results=0  rate=1,305 centers/s
  [ 9025.7s] centers=11,768,785  results=0  rate=1,304 centers/s
  [ 9051.5s] centers=11,788,208  results=0  rate=1,302 centers/s
  [ 9077.2s] centers=11,807,430  results=0  rate=1,301 centers/s
  [ 9103.1s] centers=11,826,545  results=0  rate=1,299 centers/s
  [ 9129.1s] centers=11,845,513  results=0  rate=1,298 centers/s
  [ 9155.1s] centers=11,864,329  results=0  rate=1,296 centers/s
  [ 9181.0s] centers=11,883,048  results=0  rate=1,294 centers/s
  [ 9207.0s] centers=11,901,600  results=0  rate=1,293 centers/s
  [ 9233.0s] centers=11,920,041  results=0  rate=1,291 centers/s
  [ 9258.7s] centers=11,938,292  results=0  rate=1,289 centers/s
  [ 9284.6s] centers=11,956,409  results=0  rate=1,288 centers/s
  [ 9310.4s] centers=11,974,431  results=0  rate=1,286 centers/s
  [ 9336.6s] centers=11,992,332  results=0  rate=1,284 centers/s
  [ 9362.2s] centers=12,010,056  results=0  rate=1,283 centers/s
  [ 9388.0s] centers=12,027,635  results=0  rate=1,281 centers/s
  [ 9413.6s] centers=12,045,091  results=0  rate=1,280 centers/s
  [ 9439.2s] centers=12,062,424  results=0  rate=1,278 centers/s
  [ 9465.2s] centers=12,079,643  results=0  rate=1,276 centers/s
  [ 9490.8s] centers=12,096,726  results=0  rate=1,275 centers/s
  [ 9516.8s] centers=12,113,658  results=0  rate=1,273 centers/s
  [ 9542.9s] centers=12,130,471  results=0  rate=1,271 centers/s
  [ 9568.5s] centers=12,147,153  results=0  rate=1,269 centers/s
  [ 9594.3s] centers=12,163,669  results=0  rate=1,268 centers/s
  [ 9620.6s] centers=12,180,032  results=0  rate=1,266 centers/s
  [ 9646.6s] centers=12,196,320  results=0  rate=1,264 centers/s
  [ 9672.3s] centers=12,212,432  results=0  rate=1,263 centers/s
  [ 9698.4s] centers=12,228,397  results=0  rate=1,261 centers/s
  [ 9724.0s] centers=12,244,250  results=0  rate=1,259 centers/s
  [ 9750.2s] centers=12,259,989  results=0  rate=1,257 centers/s
  [ 9775.9s] centers=12,275,600  results=0  rate=1,256 centers/s
  [ 9801.5s] centers=12,291,059  results=0  rate=1,254 centers/s
