count_bonus_carres,E,A,C,J,H,a,b,c,d,e,f,h,i,j
1,24327,8883,22653,33237,25893,78907689,1183342689,513158409,1026053649,591802929,157552209,670447449,263169,1104698169
1,24375,8625,23505,33375,25215,74390625,1155546225,552485025,1072235025,594140625,116046225,635796225,32735025,1113890625
1,24375,16575,19821,30225,28203,274730625,1114819209,392872041,712282041,594140625,475999209,795409209,73462041,913550625
1,24505,13195,20677,32045,27811,174108025,1199838721,427538329,853925329,600495025,347064721,773451721,1151329,1026882025
1,24505,16861,20111,30277,28223,284293321,1112739433,404452321,720654025,600495025,480336025,796537729,88250617,916696729
1,24565,10115,23239,33235,25823,102313225,1167953329,540051121,1041177121,603439225,165701329,666827329,38925121,1104565225
1,24674,13286,22834,32266,26386,176517796,1128509476,521391556,953680036,608806276,263932516,696220996,89103076,1041094756
1,24973,14677,21437,32123,28067,215414329,1195992889,459544969,867781369,623650729,379520089,787756489,51308569,1031887129
1,25228,9212,23492,34468,26852,84860944,1272620944,551874064,1103465104,636451984,169438864,721029904,283024,1188043024
1,25275,14055,22695,32865,27615,197543025,1203870825,515063025,956345625,638825625,321305625,762588225,73780425,1080108225
1,25350,13650,21390,33150,28770,186322500,1284012900,457532100,913832100,642622500,371412900,827712900,1232100,1098922500
1,25415,18607,22885,30751,27715,346220449,1067823001,523723225,823425001,645922225,468419449,768121225,224021449,945624001
1,25500,19740,21972,30180,28596,389667600,1078313616,482768784,743351184,650250000,557148816,817731216,222186384,910832400
1,25636,13124,23644,33796,27484,172239376,1240335376,559038736,1044003856,657204496,270405136,755370256,74073616,1142169616
1,25925,7031,25195,35983,26635,49434961,1332093889,634788025,1257458689,672105625,86752561,709423225,12117361,1294776289
1,25950,5970,25386,36210,26502,35640900,1340117604,644448996,1282210596,673402500,64594404,702356004,6687396,1311164100
1,26000,9200,25072,35600,26896,84640000,1314754816,628605184,1219965184,676000000,132034816,723394816,37245184,1267360000
1,26010,10710,24606,35190,27342,114704100,1309400964,605455236,1167271236,676520100,185768964,747584964,43639236,1238336100
1,26129,9541,24331,35699,27811,91030681,1365145681,591997561,1183691521,682724641,181757761,773451721,303601,1274418601
1,26195,14105,22103,34255,29729,198951025,1371040441,488542609,975769609,686178025,396586441,883813441,1315609,1173405025
1,26260,16228,20660,33404,30860,263347984,1378579216,426835600,853075216,689587600,526099984,952339600,595984,1115827216
1,26390,18158,21658,32606,30394,329712964,1290514372,469068964,835788100,696432100,557076100,923795236,102349828,1063151236
1,26455,19129,20603,32153,31229,365918641,1309198825,424483609,758431993,699867025,641302057,975250441,90535225,1033815409
1,26520,19416,23880,32088,28920,376981056,1162695744,570254400,896583744,703310400,510037056,836366400,243925056,1029639744
1,26535,11919,26133,35583,26931,142062561,1287322425,682933689,1244977353,704106225,163235097,725278761,120890025,1266149889
1,26690,10310,24718,36310,28526,106296100,1419792676,610979524,1217039524,712356100,207672676,813732676,4919524,1318416100
1,26715,17535,21963,33465,30741,307476225,1351224081,482373369,888588369,713691225,538794081,945009081,76158369,1119906225
